CONS,BOOTH,INC2009,BJP2009,CPI2009,INC2014,BJP2014,CPI2014,INC2016,BJP2016,CPI2016,Total2009,Total2014,Total2016,BOOTHNAME
PARASALA,84,268,107,187,274,350,331,276,283,503,687,983,1080,Parameswaravilasam U P S Thathiyoor
PARASALA,85,614,59,217,286,148,292,229,120,515,1022,782,891,"Govt.L P S Thathiyoor,Aruvikkara, East Building Centre Portion"
PARASALA,86,483,128,265,128,167,98,121,165,181,963,407,474,Bolock Office Perumkadavila
PARASALA,87,271,81,125,328,227,359,297,194,505,656,948,1016,"S.N.D.P.Auditorium,Onamcode"
PARASALA,88,393,29,224,236,310,197,244,247,420,868,777,927,Akarathuvila Anganavadi Building
PARASALA,89,266,120,218,379,45,189,345,44,316,721,645,713,"Govt. Girls H.S. Dhanuvachapuram(Main Building, East Portion)"
PARASALA,90,377,100,240,271,130,146,219,107,261,808,574,602,"Govt. Girls H.S. Dhanuvachapuram(Main Building, South Portion)"
PARASALA,91,413,114,237,484,310,319,455,273,471,845,1149,1214,"Kudumbaskhema Upakendram,Manchavilakom"
PARASALA,92,281,50,199,328,209,265,298,181,406,742,841,908,"Kudumbaskhema Upakendram,Manchavilakom"
PARASALA,93,191,51,324,484,144,332,445,65,458,585,1006,991,"Govt. U P S Manchavilakam (North Building, West Portion)"
PARASALA,94,396,34,135,241,307,248,243,320,361,739,830,940,"Govt. U P S Manchavilakam (North Building, East Portion)"
PARASALA,95,261,144,233,368,204,351,392,190,439,677,969,1036,"Govt. U P S Manchavilakam (North Building, East Portion)"
PARASALA,96,327,144,206,521,203,239,467,171,380,820,999,1036,Govt. U P S Manchavilakam SSA Additional Class Room
PARASALA,97,257,117,247,322,198,313,278,163,507,751,857,965,Govt. UPS Manchavilakom(North Building Centre Poertion)
PARASALA,98,479,16,170,206,124,323,148,122,539,767,678,814,Govt. UPS Manchavilakom(North Building West Poertion)
PARASALA,99,216,78,241,442,105,252,451,83,396,677,864,946,Kollayil Service Sahakarana Bank Dhanuvachapuram
PARASALA,100,426,48,245,241,275,210,229,264,374,908,800,874,"N K M Govt Boy's High School,Dhanuvachapuram,SSA Building(NorthSide,North Portion)"
PARASALA,101,210,109,361,360,304,307,394,248,459,712,1023,1117,N S S H S S Dhanuvachapuram(West portion of the main building)
PARASALA,102,415,31,218,300,247,268,294,167,443,780,845,915,"Govt. Girls HS Dhanuvachapuram(Main Building, West Portion)"
PARASALA,103,406,20,157,493,79,208,568,55,266,657,803,900,Govt. Girls HS Dhanuvachapuram SSA Building (North Portion)
PARASALA,104,387,65,212,278,197,285,277,130,453,863,810,874,Panchayath Office Kollayil
PARASALA,105,272,77,152,470,184,339,520,95,502,627,1050,1133,Panchayath Office Kollayil(South Portion)
PARASALA,106,431,106,152,192,275,311,173,175,528,820,813,886,Neelakandaru Krishnaru Memorial H S S Dhanuvachapuram  S S A (North Building)
PARASALA,107,200,82,170,449,102,304,446,78,362,483,885,905,N S S Karayogam No 2528 Deveswaram
PARASALA,108,272,112,205,439,63,219,404,39,303,686,745,760,Sree Narayanapuram Handloom Weaver's Co- Operative Society No 139
PARASALA,109,390,151,270,414,294,330,403,218,534,914,1090,1175,"Neelakandaru Krishnaru Memorial H S S Dhanuvachapuram  S S A (South Building, NorthPortion)"
PARASALA,110,272,25,238,278,206,247,279,136,409,580,784,844,"Neelakandaru Krishnaru Memorial H S S Dhanuvachapuram  S S A (South Building,Middle Portion)"
PARASALA,111,342,82,234,472,202,247,505,138,383,782,967,1047,"LMS LPS Ponnamkulam (Main Building, West Portion)"
PARASALA,112,277,49,199,233,468,211,197,387,456,605,934,1060,"LMS, LPS Ponnamkulam (East Portion)"
PARASALA,113,260,163,159,275,256,266,273,214,422,661,837,930,
PARASALA,114,286,123,116,161,208,125,190,169,215,555,517,581,
PARASALA,115,206,43,251,180,138,243,155,136,338,558,592,643,
PARASALA,116,187,63,125,377,178,297,307,114,553,480,926,990,
PARASALA,117,291,65,391,356,222,292,368,195,442,868,941,1025,LPS Parasuvaikkal ( North Portion)
PARASALA,118,281,81,233,341,114,234,323,91,359,724,742,785,BFMLPS Parasuvaikkal (West Portion)
PARASALA,119,396,116,294,223,365,188,235,297,303,1030,826,856,LMS LPS Maypuram ( Old Building)
PARASALA,120,339,136,188,259,274,112,261,204,269,902,685,748,LMS LPS Maypuram ( New building West portion)
PARASALA,121,353,123,200,166,133,269,164,112,388,926,608,685,"LMS LPS Maypuram ( New Building , East portion)"
PARASALA,122,355,164,428,226,113,232,242,101,235,1079,610,630,Service Sahakarana Bank Parasuvaikkal
PARASALA,123,188,159,219,218,338,350,230,266,572,644,961,1091,"Sivaji ITC, Idichakkaplamoodu"
PARASALA,124,196,161,233,231,270,343,272,224,464,701,875,982,SA LPS Kurumkutty (Main Building)
PARASALA,125,289,123,310,416,212,402,389,179,582,866,1109,1213,"SA LPS Kurumkutty (Shed Building, West Portion)"
PARASALA,126,332,96,248,314,315,417,319,256,542,782,1086,1184,"SA LPS Kurumkutty (Shed Building , East Portion)"
PARASALA,127,289,123,238,326,254,385,408,210,515,904,1004,1166,"SA LPS Kurumkutty (Shed Building ,West Portion)"
PARASALA,128,270,62,271,163,257,236,200,187,289,724,684,697,"LPS Karumanoor, Kodavilakam, (West Portion)"
PARASALA,129,167,153,194,109,221,246,114,134,389,607,586,640,"Holy Trinity School,Karumanoor"
PARASALA,130,300,76,206,188,348,270,155,317,385,801,828,882,"LPS Karumanoor, Kodavilakam( South Portion)"
PARASALA,131,290,241,244,207,318,312,222,272,436,858,861,942,"Evans U.P School, Parassala (North Building, Centre Portion)"
PARASALA,132,282,56,287,297,245,458,361,190,544,734,1032,1111,"Panchayath Town hall,Puthenkada"
PARASALA,133,274,117,293,287,241,292,309,229,424,771,849,981,"Govt. LPS Girls, Parassala (East Portion)"
PARASALA,134,283,129,185,320,244,405,404,210,615,751,1020,1253,Samuel LMS HS Cheruvarakkonam (East Building)
PARASALA,135,266,18,133,281,148,425,322,135,519,528,890,998,Samuel LMS HS Cheruvarakkonam
PARASALA,136,395,167,307,181,315,195,182,269,320,1025,739,787,Samuel LMS HS Cheruvarakkonam (North Building)
PARASALA,137,268,114,250,321,179,373,367,166,464,736,921,1028,"Evans U.P School, Parassala (East Building, Centre Portion)"
PARASALA,138,174,26,170,221,395,320,246,338,467,499,975,1068,Govt LPS Alathottam
PARASALA,139,265,26,205,246,179,356,250,161,506,736,821,934,LMS LPS Palukal
PARASALA,140,281,138,216,271,236,323,248,216,461,734,846,939,Channel Section Office Parassala
PARASALA,141,296,74,246,294,230,283,296,187,375,701,840,870,Govt. Girls HS Parassala(East Building)
PARASALA,142,272,140,161,403,74,222,460,40,293,726,716,802,Govt. Girls HS Parassala
PARASALA,143,224,60,197,299,216,300,369,153,368,681,851,906,Govt LP Girls School Parassala (West Portion)
PARASALA,144,285,18,147,378,204,264,452,173,349,571,909,985,"Govt. Girls HS Parassala (Main Building, South Portion)"
PARASALA,145,172,11,87,252,233,356,300,192,456,432,878,965,"Govt. Girls HS Parassala (Main Building, South Portion)"
PARASALA,146,300,37,104,235,105,201,247,77,268,674,566,603,"Govt. Girls HS Parassala(Main Building, North Portion)"
PARASALA,147,216,16,165,318,104,355,385,47,407,640,812,862,Govt. Girls HS Parassala
PARASALA,148,245,24,182,268,324,216,247,227,411,564,856,904,LPS Inchivila (East Portion)
PARASALA,149,312,27,160,268,310,229,279,171,405,976,836,879,LPS Inchivila (West Portion)
PARASALA,150,290,22,260,317,205,249,327,216,339,677,831,898,LPS Inchivila (West Portion)
PARASALA,151,285,22,213,230,217,307,248,155,453,747,785,883,Govt. LPS Ayinkamam (East Portion)
PARASALA,152,394,137,215,333,52,262,353,34,342,841,686,748,Govt. LPS Ayinkamam (West Portion)
PARASALA,153,337,56,257,205,49,224,245,41,257,786,500,558,"Anavoor Mathru Sisu SamrakshanaKendram,Manavari"
PARASALA,154,236,31,173,381,145,234,368,112,367,597,787,863,LMS UPS Perambakkonam (Middle Portion)
PARASALA,155,446,33,272,317,79,291,346,40,309,948,711,723,G.H.S. Anavoor (East Portion)
PARASALA,156,338,89,159,289,79,205,291,68,290,781,602,663,G.H.S. Anavoor (West Portion)
PARASALA,157,307,55,187,441,118,527,571,66,544,769,1140,1196,LMS UPS Perimbakonam (South Portion)
PARASALA,158,327,130,150,280,103,343,297,73,397,776,759,775,Govt LPS Mooverikkara
PARASALA,159,308,30,219,354,136,336,409,79,423,799,856,951,LMS UPS Perimbakonam (North Portion)
PARASALA,160,330,126,242,312,375,238,270,296,484,848,957,1063,Village Office Anavoor
PARASALA,161,325,66,267,366,244,253,376,168,438,706,901,1003,Ksheera IndustrialCo-Operative Society Paliyode
PARASALA,162,510,149,309,277,107,272,327,103,321,1066,701,774,Anavoor Govt HSS Pre  Primary School
PARASALA,163,184,59,206,451,162,338,515,82,445,664,1006,1074,"LPS Mooverikkara (East Building, North Portion)"
PARASALA,164,276,110,301,402,212,310,452,167,413,956,971,1056,"LPS Mooverikkara (East Building, South Portion)"
PARASALA,165,180,271,190,353,154,301,397,105,435,755,862,953,"RCS Sree Chithira Thirunal School,Kunnathukal"
PARASALA,Postal,0,0,0,0,0,0,247,95,522,0,0,878,
KAZHAKKOOTTAM,1,268,64,352,234,281,334,268,227,506,718,889,1019,"St Antony's Lower primary school kariyil , Kazhakuttom(West Portion)"
KAZHAKKOOTTAM,2,314,38,283,305,149,254,316,132,475,661,766,934,"Agriculture office (CoconutNursury), Kazhakuttom"
KAZHAKKOOTTAM,3,324,65,191,350,174,103,412,151,314,603,703,903,"Sainika Lower Primary school, Kazhakuttom (Right portion)"
KAZHAKKOOTTAM,4,270,72,163,216,231,133,280,178,231,537,607,702,"Sainika Lower Primary school, Kazhakuttom (Left Portion)"
KAZHAKKOOTTAM,5,308,179,226,254,559,160,310,470,281,794,988,1079,"Alan Feldman Public School ,Kazhakuttom (Middle Portion of southern building)"
KAZHAKKOOTTAM,6,435,106,260,290,419,231,301,351,468,861,996,1140,"Govt Highschool , Kazhakuttom (East Portion of the Northern building)"
KAZHAKKOOTTAM,7,268,23,317,270,159,248,274,131,367,621,726,781,"Govt Highschool , Kazhakuttam (Main Building North Portion building)"
KAZHAKKOOTTAM,8,334,24,421,298,248,378,320,220,565,814,984,1119,"Block Development office , Kazhakuttom"
KAZHAKKOOTTAM,9,389,70,344,328,339,322,388,281,522,830,1019,1206,"St . Antony's Lower primary  school , Kazhakuttom (East Portion)"
KAZHAKKOOTTAM,10,492,171,185,294,501,188,342,476,319,875,1008,1159,"St . Antony's Lower primary  school , Kazhakuttom (West  Portion)"
KAZHAKKOOTTAM,11,389,85,218,371,269,240,469,267,261,765,914,1012,"Govt Highschool , Kazhakuttam (western portion of the southern building)"
KAZHAKKOOTTAM,12,347,58,291,373,180,218,438,157,402,727,808,1029,"Village Office , Kazhakuttom"
KAZHAKKOOTTAM,13,158,20,413,135,135,360,175,94,577,600,661,858,"Govt Highschool , Kazhakuttom (South  Portion Class Room of the Northern building)"
KAZHAKKOOTTAM,14,322,38,284,211,296,210,260,211,380,667,740,865,"Lekshmi Bai National College  of Physical education center, Kariyavattom"
KAZHAKKOOTTAM,15,107,13,535,48,236,387,79,150,653,662,708,893,"Govt U. P school , Chanthavila (Southern portion of the eastern building)"
KAZHAKKOOTTAM,16,213,61,339,90,380,249,110,309,446,663,750,886,"Govt Lower Primary School , Uthiyaramoola (Western portion of the main building)"
KAZHAKKOOTTAM,17,305,78,306,181,330,203,286,352,330,739,737,1000,Anganvadi Building Kallukunnu
KAZHAKKOOTTAM,18,306,37,374,134,415,225,239,405,437,744,803,1098,"Govt  U P S , Kattayikonam (Eastern Building)"
KAZHAKKOOTTAM,19,182,22,412,87,383,214,138,322,441,638,720,910,"Sree Neelakanda  vidyapeedam , Chenkottukonam"
KAZHAKKOOTTAM,20,356,137,231,249,411,154,333,327,321,784,838,1001,"Madhava Vilasam  H  S , Thundathil"
KAZHAKKOOTTAM,21,272,58,232,157,391,152,255,391,265,628,722,951,Madhavilasom HS Thundathil ( East Portion of North Building )
KAZHAKKOOTTAM,22,395,99,259,308,434,202,416,425,351,826,971,1249,"Govt L P School ,Chenkottukonam (Middle portion of the Southern building)"
KAZHAKKOOTTAM,23,234,144,318,152,447,293,216,458,426,730,917,1115,"Govt U P School , Kattayikonam (southern portion of western building)"
KAZHAKKOOTTAM,24,299,42,220,215,243,217,292,235,317,614,695,874,"Govt U. P school , Chanthavila (Northern portion of the east building)"
KAZHAKKOOTTAM,25,312,30,139,261,160,237,359,145,289,538,678,824,"Govt U. P School , Chanthavila (Middle portion of North building)"
KAZHAKKOOTTAM,26,414,83,185,359,318,164,426,285,289,694,868,1012,"Govt Upper Primary school, Chanthavila (eastern portion of north  building)"
KAZHAKKOOTTAM,27,219,88,216,143,321,212,192,374,248,538,699,826,GUPS Chanthavila ( Middle Portion of East Building )
KAZHAKKOOTTAM,28,151,36,314,104,227,261,117,244,320,528,610,699,"Govt Lower Primary school , Chengotukonam (South portion)"
KAZHAKKOOTTAM,29,286,69,274,246,266,328,255,319,431,706,868,1024,"Govt L P S , Chengottukonam (Middle portion of the Building)"
KAZHAKKOOTTAM,30,167,86,295,118,320,239,125,339,340,557,698,811,"Govt  Lower Primary School , Chengottukonam (North portion of building)"
KAZHAKKOOTTAM,31,364,100,186,325,311,258,429,351,320,734,926,1112,Chempazhanthy Service Co-Operative Society
KAZHAKKOOTTAM,32,314,195,180,258,413,246,332,478,298,765,946,1125,"K P Gopinathan Nair Memorial Public school,Aruvikkarakonam"
KAZHAKKOOTTAM,33,281,79,167,177,309,239,262,323,299,560,744,894,"Midwifery and child Welfare Center , Aruvikkarakonam"
KAZHAKKOOTTAM,34,318,85,242,223,355,220,264,357,330,670,813,962,Women Shaktheekaran Centre Malapparikkonam
KAZHAKKOOTTAM,35,261,91,221,168,405,165,198,436,283,583,759,933,"K P Gopinathan Nair Memorial Public school, Aruvikkarakonam"
KAZHAKKOOTTAM,36,320,89,207,234,271,210,283,262,397,668,747,960,St Antony's Nursery School Njandoorkonam
KAZHAKKOOTTAM,37,198,193,300,134,430,303,177,467,403,745,903,1061,St Antony's Nursery School Njandoorkonam (East Portion)
KAZHAKKOOTTAM,38,229,88,221,215,248,214,256,293,291,576,700,864,CSI  Nursery School  Puthukunnu
KAZHAKKOOTTAM,39,242,82,227,151,251,309,232,248,409,617,747,911,Valiyavila Anganawadi
KAZHAKKOOTTAM,40,244,184,239,172,405,248,182,466,305,713,869,977,SNDP Hall Powdikonam
KAZHAKKOOTTAM,41,274,129,274,201,385,285,229,403,446,728,900,1091,"Panchayath Office , Sreekariyam (Office)"
KAZHAKKOOTTAM,42,249,231,163,202,519,121,251,561,219,660,863,1039,Panchayath Office (1st floor) (Sreekariyam Grama Panchayath Krishi Bhavan)
KAZHAKKOOTTAM,43,288,224,220,272,441,122,273,500,188,742,862,982,"Balavadi  keraladithyapuram , Powdikonam"
KAZHAKKOOTTAM,44,454,130,248,205,252,182,244,238,272,954,666,770,"Chempazhanthy Reading Room, Poudikonam"
KAZHAKKOOTTAM,45,258,44,314,208,176,177,304,151,214,640,581,681,Avukulam Ksheerolpadhana Sangham
KAZHAKKOOTTAM,46,229,59,263,190,253,276,239,258,397,638,750,913,"Govt Lower Primary School ,  Kanjikal (Middle Portion)"
KAZHAKKOOTTAM,47,357,110,314,191,288,259,270,299,392,797,787,984,"Govt Lower Primary School ,  Kanjikal (Southern Portion)"
KAZHAKKOOTTAM,48,371,150,224,203,399,293,255,381,482,761,924,1139,"Janatha Library & Reading Room , Keraladithyapuram"
KAZHAKKOOTTAM,49,323,88,231,235,458,181,296,467,320,666,900,1100,"N S S Karayogam Hall , Keraladithyapuram"
KAZHAKKOOTTAM,50,283,78,227,184,357,206,172,327,357,635,778,874,"Govt Upper Primary School , Kariavattom (Eastern Portion of old building)"
KAZHAKKOOTTAM,51,366,95,224,236,320,204,260,340,336,739,790,948,Peroor Anganvady & Library (Ground Floor of the Building)
KAZHAKKOOTTAM,52,294,63,317,198,456,240,271,390,359,708,912,1045,Govt L P S Manackal(Western Portion)
KAZHAKKOOTTAM,53,390,128,173,210,249,282,283,263,391,722,780,961,"Ayyankali Nagar,Public Building"
KAZHAKKOOTTAM,54,293,37,237,243,330,218,295,321,325,622,827,959,"Govt L P S , Manackal (Middle Portion of the building)"
KAZHAKKOOTTAM,55,429,82,196,290,133,268,322,143,347,785,741,830,"Govt L P S , Manackal (East portion class room of groud floor of Double storage building)"
KAZHAKKOOTTAM,56,428,50,251,367,334,323,450,315,384,753,1054,1168,Govt. UPS Karyavattom (Left Side of New Building )
KAZHAKKOOTTAM,57,334,70,209,347,225,241,318,191,433,656,852,953,"Health Center Pangappara, East Building"
KAZHAKKOOTTAM,58,563,4,212,266,261,195,331,271,285,814,748,903,PWD Assistant Engineer Office ( Road)
KAZHAKKOOTTAM,59,362,40,372,576,38,251,697,35,293,787,908,1048,"Health Center Pangappara, South Building"
KAZHAKKOOTTAM,60,199,35,213,254,275,361,397,226,469,458,916,1105,"Govt Lower Primary School , Manackal (Eastern building)"
KAZHAKKOOTTAM,61,332,27,255,145,116,218,163,97,264,628,503,534,Anganvadi Building Vikas Nagar Venchavode
KAZHAKKOOTTAM,62,396,10,276,311,94,274,355,107,339,757,712,830,"Govt High School,  Sreekariyam (Western portion of central building)"
KAZHAKKOOTTAM,63,359,26,315,230,227,288,224,280,371,726,785,884,"Govt. High School, Sreekariyam (Western Portion of New Building)"
KAZHAKKOOTTAM,64,233,99,206,297,187,335,303,252,464,587,843,1029,"Govt. High School, Sreekariyam (Master Class room of East Portion)"
KAZHAKKOOTTAM,65,252,30,252,149,360,173,171,390,215,586,715,798,"Govt. High School, Sreekariyam (East Portion of New Building )"
KAZHAKKOOTTAM,66,199,21,308,220,145,276,224,174,384,539,677,805,"Govt High school,  Sreekariyam (Eastern portion of Central building)"
KAZHAKKOOTTAM,67,389,54,283,127,222,288,102,283,354,739,656,752,"Higher Secondary School, Pallithura (East portion of new building, D block)"
KAZHAKKOOTTAM,68,397,40,358,261,325,262,236,387,375,816,896,1009,"Higher Secondary School, Pallithura (East Portion Class No 10A)"
KAZHAKKOOTTAM,69,253,35,191,287,388,301,317,366,460,526,1009,1167,"Higher Secondary School, Pallithura (Middle Portion of South Building)"
KAZHAKKOOTTAM,70,382,41,344,182,255,182,163,302,308,781,645,791,"Higher Secondary School, Pallithura (New building in the Western Portion )"
KAZHAKKOOTTAM,71,192,14,351,240,276,304,220,333,384,573,852,948,"Higher Secondary School, Pallithura  (North portion of East Building)"
KAZHAKKOOTTAM,72,206,77,205,90,222,365,74,255,412,506,697,748,"Govt  Higher Secondary School , Kulathoor (Northern side of west building)"
KAZHAKKOOTTAM,73,256,56,211,101,376,176,114,401,320,552,678,845,Govt. Harijan Welfare LP School Poundkadavu ( North Portion )
KAZHAKKOOTTAM,74,372,36,103,127,354,118,158,379,236,546,637,789,Government Relief  L .P School Kattil (Eastern portion)
KAZHAKKOOTTAM,75,197,27,262,303,233,128,316,268,207,505,694,814,"Government relief  L .P. S ,  Kattil (Middle Portion )"
KAZHAKKOOTTAM,76,245,57,315,126,272,254,159,284,343,632,678,807,"Govt Higher Secondary  School ,  Kulathoor (Eastern portion of new building)"
KAZHAKKOOTTAM,77,312,30,308,128,417,248,112,490,431,721,837,1048,"Govt L .P. S , Attinkuzhi (Middle Portion)"
KAZHAKKOOTTAM,78,254,32,335,227,262,288,253,282,455,677,812,1027,"Govt L .P. S , Attinkuzhi (LKG Building)"
KAZHAKKOOTTAM,79,629,3,203,171,341,220,220,317,447,870,748,1003,"Govt Lower Primary School, Attinkuzhi (Western portion of South building)"
KAZHAKKOOTTAM,80,528,3,193,716,13,230,610,30,439,748,985,1117,"Government Harijan Welfare L. P school, Poundkadavu"
KAZHAKKOOTTAM,81,306,128,269,655,12,250,579,13,460,726,957,1078,"Govt  Lower Primary School , Attinkuzhi (East Portion)"
KAZHAKKOOTTAM,82,179,27,271,200,439,213,212,547,376,512,884,1154,"Govt  Lower Primary School , Attinkuzhi (Western Portion)"
KAZHAKKOOTTAM,83,359,54,457,126,230,256,150,247,382,909,636,793,"Govt  Higher secondary school , Kulathoor (Western portion of new building)"
KAZHAKKOOTTAM,84,350,65,327,188,397,374,243,378,554,791,991,1194,anganwadi center working at Kattil gov. relief UP School
KAZHAKKOOTTAM,85,285,59,199,260,431,252,298,408,444,553,975,1167,Government relief lower primary school. Kattil (Western Portion)
KAZHAKKOOTTAM,86,417,47,401,211,318,194,210,299,307,893,745,833,"Government L. P. S, Manvila"
KAZHAKKOOTTAM,87,451,38,194,256,348,336,275,338,540,729,988,1188,"Vijnanadayini  Grandhasala ,  Kizhakumbhagom"
KAZHAKKOOTTAM,88,294,94,292,370,223,179,359,256,302,696,818,930,Athbodhini Grandhasala Arusummoodu
KAZHAKKOOTTAM,89,264,50,252,189,380,237,267,272,347,575,828,895,"Government  U. P. S, Kuzhivila (North portion of new building)"
KAZHAKKOOTTAM,90,287,158,311,181,300,204,251,248,366,778,716,885,"Government U. P. S, Kuzhivila (North portion of new building)"
KAZHAKKOOTTAM,91,274,75,352,192,503,282,193,569,457,728,1003,1240,"Government U. P. S, Kuzhivila (south portion of new building)"
KAZHAKKOOTTAM,92,399,110,334,155,393,360,170,456,524,866,938,1168,"St Thomas L. P .S, Veli (Western portion of North Building)"
KAZHAKKOOTTAM,93,352,115,300,295,456,261,290,462,435,787,1049,1213,"St Thomas L. P. S, Veli (Western Portion of North Building)"
KAZHAKKOOTTAM,94,242,18,270,204,469,300,208,463,458,557,997,1148,"St Thomas L. P. S, Veli (North Portion)"
KAZHAKKOOTTAM,95,363,30,185,206,147,252,182,194,365,625,644,750,Govt. HS Kariykkakam.(Middle portion of north building)
KAZHAKKOOTTAM,96,204,11,199,272,216,195,281,201,314,489,732,821,Govt. HS Kariykkakam.(North Portion of New Building)
KAZHAKKOOTTAM,97,364,76,234,210,95,223,216,99,316,701,572,650,"Devayani Memorial LPS, Oruvathilkotta.(north portion of main building)"
KAZHAKKOOTTAM,98,188,58,301,256,282,217,277,332,403,572,794,1030,Krishi Bhavan Venpalavattom
KAZHAKKOOTTAM,99,379,89,267,150,293,270,131,305,450,754,738,908,"Devayani Memorial LPS, Oruvathilkotta.(middle portion of main building)"
KAZHAKKOOTTAM,100,290,163,217,291,319,229,281,327,401,688,879,1024,"Devayani Memorial LPS, Oruvathilkotta.(South building)"
KAZHAKKOOTTAM,101,316,124,201,231,405,177,241,403,313,718,859,980,"Corporation Zonal Office,Kadapampally"
KAZHAKKOOTTAM,102,492,165,184,254,358,246,320,386,292,925,894,1018,UPS Valiyaudayeswaram.(Western portion of north building)
KAZHAKKOOTTAM,103,273,67,168,304,412,132,294,427,269,529,903,1018,Govt LPS Valiyaudeswaram( Room at the eastern portion of main building)
KAZHAKKOOTTAM,104,258,120,163,193,279,124,194,302,213,554,659,721,Kumarapuram NSS Karayogam ( No 2839 )( Hall Room in the ground floor of the Building )
KAZHAKKOOTTAM,105,622,176,133,162,342,157,176,377,264,946,684,822,Govt. LPS Valiyaudayeswaram.(east portion of main building)
KAZHAKKOOTTAM,106,482,73,273,316,349,67,277,358,148,894,770,798,Govt. LPS Valiya Udayeswaram.(east portion of north building)
KAZHAKKOOTTAM,107,400,40,197,212,311,69,215,357,122,710,624,708,Govt. HS Kariykkakam(east portion of north building)
KAZHAKKOOTTAM,108,362,54,221,265,360,209,294,350,357,711,862,1013,Govt. HS Kariykkakam(west portion of north building)
KAZHAKKOOTTAM,109,438,128,243,316,316,217,331,329,346,834,882,1017,Govt. LPS Valiyaudayeswaram(north portion of main building)
KAZHAKKOOTTAM,110,491,93,224,294,262,293,333,262,362,826,888,986,UPS Valiyaudayeswaram(Western Portion of Main Building)
KAZHAKKOOTTAM,111,406,51,396,324,390,174,311,400,324,917,935,1058,UPS Valiyaudayeswaram(east portion of west building)
KAZHAKKOOTTAM,112,452,55,184,326,414,125,356,418,277,733,913,1065,"St.Thomas School, Chennilode(Front Hall of main building)"
KAZHAKKOOTTAM,113,286,60,256,291,292,312,357,278,441,637,960,1103,Govt. LPS Kannammoola.(south portion)
KAZHAKKOOTTAM,114,216,44,266,119,123,87,131,150,151,556,347,438,Govt. LPS Kannammoola.(Middle portion)
KAZHAKKOOTTAM,115,364,44,188,275,287,113,321,301,222,611,715,869,Govt. LPS Kannammoola.(north portion)
KAZHAKKOOTTAM,116,422,36,344,156,272,218,174,281,334,841,668,813,Govt. H S S Kariykkakam
KAZHAKKOOTTAM,117,392,80,319,145,165,270,110,158,378,875,601,652,"Medical College Govt. Higher Secondary School, Kumarapuram(Auditorium)"
KAZHAKKOOTTAM,118,446,62,251,277,202,168,234,181,284,786,684,711,Engineering College Kulathoor. (right side of the Main Building)
KAZHAKKOOTTAM,119,434,130,221,293,303,266,309,286,472,826,917,1085,Engineering College Kulathoor.
KAZHAKKOOTTAM,120,304,106,399,251,299,217,272,291,422,910,801,1009,"Marynilayam English Medium UPS, Pongummoodu.(western portion of main building)"
KAZHAKKOOTTAM,121,292,141,195,207,259,166,198,236,316,647,665,758,Govt. LPS Pongummoodu.(south portion of main building)
KAZHAKKOOTTAM,122,446,78,273,318,303,197,269,315,381,854,854,986,Govt. LPS Pongummoodu.(middle portion of main building)
KAZHAKKOOTTAM,123,322,126,147,273,433,219,283,560,340,620,969,1205,"Marynilayam English Medium UPS, Pongummoodu.(middle portion of main building)"
KAZHAKKOOTTAM,124,425,88,253,242,442,360,248,482,546,824,1087,1306,"Marynilayam English Medium UPS, Pongummoodu.(Eastern portion of main building)"
KAZHAKKOOTTAM,125,446,80,217,171,390,179,187,434,289,778,784,922,Govt. UPS Cheruvakkal.(east portion of main building)
KAZHAKKOOTTAM,126,336,44,279,391,336,305,291,201,219,683,1059,733,Layola College Sreekariyam.(north portion of main building)
KAZHAKKOOTTAM,127,429,65,110,280,364,115,278,322,254,636,796,870,"Holy Trinity English Medium School, Aalathara.(north portion of main building)"
KAZHAKKOOTTAM,128,512,50,182,374,342,248,402,363,376,770,1017,1163,Infant Jesus UPS Cheruvaikal Pongummoodu(North Portion)
KAZHAKKOOTTAM,129,286,80,187,379,314,211,378,289,357,570,937,1047,Infant Jesus UPS Cheruvaikal Pongummoodu(East Portion)
KAZHAKKOOTTAM,130,398,63,219,259,254,315,274,251,385,704,862,921,Infant Jesus UPS Cheruvaikal Pongummoodu(South Portion)
KAZHAKKOOTTAM,131,500,33,185,382,196,121,444,219,234,805,738,906,Infant Jesus UPS Cheruvaikal Pongummoodu(West Portion)
KAZHAKKOOTTAM,132,492,23,182,428,245,195,456,243,293,844,932,1017,Govt. UPS Cheruvakkal.(middle portion of main building)
KAZHAKKOOTTAM,133,459,50,181,164,279,161,145,318,285,769,630,761,Govt. UPS Cheruvakkal.(West portion of main building)
KAZHAKKOOTTAM,134,309,73,127,255,302,196,261,377,342,516,807,995,Govt. UPS Ulloor (north portion of sub building)
KAZHAKKOOTTAM,135,371,31,146,437,214,181,473,228,269,627,882,982,"Govt. Higher Secondary School Medical College,Kumarapuram(south portion of main building)"
KAZHAKKOOTTAM,Postal,0,0,0,0,0,0,299,212,585,0,0,1103,
NEYYATTINKARA,1,268,96,404,251,358,341,345,227,576,887,1046,1162,"Govt.U P S Puthichal,  (south portion)"
NEYYATTINKARA,2,396,61,330,340,349,356,447,170,586,877,1086,1227,"Govt.U P S Puthichal, main building (south portion)"
NEYYATTINKARA,3,320,102,392,280,387,390,362,195,632,970,1093,1210,LPS Avanakuzhi (South Portion)
NEYYATTINKARA,4,201,35,278,281,227,391,338,103,529,761,922,980,LPS Avanakuzhi (North Portion)
NEYYATTINKARA,5,189,26,161,234,135,315,310,59,435,646,721,819,"Kadannoorvila Anganwadi, No. 22"
